code,denominacion,url,valor_turistico,confidencialidad,latitude,longitude,status
IB200,"Valdeté, Perosancio y Tajugueras",https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200,3,Public,42.130958,-2.159723,success
IB200a,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200a,N/A,N/A,N/A,N/A,not_found
IB200b,La Magdalena,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200b,3.5,Public,42.124479,-2.187944,success
IB200c,Los Cayos A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200c,6,Public,42.084398,-2.088449,success
IB200d,Los Cayos B,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200d,3.1,Public,42.083378,-2.085237,success
IB200e,Los Cayos C,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200e,5.1,Public,42.083306,-2.084852,success
IB200f,Los Cayos S,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200f,4,Public,42.081150,-2.091261,success
IB200g,Valdemayor,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200g,3.4,Public,42.199732,-2.528254,success
IB200h,Virgen del Prado,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200h,5,Public,41.963535,-1.966703,success
IB200i,Valdecevillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200i,6.3,Public,42.135837,-2.256116,success
IB200j,Virgen del Campo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200j,6.3,Public,42.143737,-2.271836,success
IB200k,El Villar-Poyales,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200k,5.3,Public,42.125790,-2.230414,success
IB200l,Peñaportillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200l,5.4,Public,42.194942,-2.285160,success
IB200m,La Canal,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200m,5.5,Public,42.195464,-2.283743,success
IB200n,"Soto en Cameros 1, 2 y 3",https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200n,4.9,Public,42.297744,-2.414614,success
IB200o,la Era del Peladillo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200o,5.9,Public,42.083328,-2.043049,success
IB200p,Las Navillas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200p,3.1,Public,42.067068,-1.941051,success
IB200q,La Torre,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200q,3.5,Public,42.075845,-2.040422,success
IB200r,Valdebrajes,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200r,3.5,Public,42.073576,-1.973726,success
IB200s,Las Losas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200s,5,Public,42.153846,-2.279108,success
IB200t,La Senoba,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200t,5.8,Public,42.130706,-2.267609,success
IB200u,Navalsaz,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200u,6,Public,42.120794,-2.208504,success
IB200v,La Pellejera,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200v,5.1,Public,42.218676,-2.453835,success
IB200w,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200w,N/A,N/A,N/A,N/A,not_found
IB200x,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200x,N/A,N/A,N/A,N/A,not_found
IB200y,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200y,N/A,N/A,N/A,N/A,not_found
IB200z,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB200z,N/A,N/A,N/A,N/A,not_found
IB034,Fuente Lacorte-El Frontal,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034,3.6,Public,42.062050,-2.390883,success
IB034a,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034a,N/A,N/A,N/A,N/A,not_found
IB034b,La Peña /El Corral de la Peña / Matecasa,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034b,3.5,Public,42.060900,-2.387136,success
IB034c,Los Tormos,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034c,3.4,Public,42.061857,-2.454492,success
IB034d,San Roque,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034d,3.8,Public,42.012898,-2.264032,success
IB034e,El Salgar de Silas,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034e,3.8,Public,41.984620,-2.353893,success
IB034f,Fuentesalvo,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034f,3.8,Public,42.052380,-2.340318,success
IB034g,Miraflores I,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034g,2.8,Public,41.929020,-2.179579,success
IB034h,Serrantes,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034h,3.1,Public,42.067290,-2.367544,success
IB034i,Valdegén,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034i,3.3,Public,42.063583,-2.349613,success
IB034j,Valles de Valdelalosa,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034j,3.8,Public,41.969953,-2.214522,success
IB034k,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034k,N/A,N/A,N/A,N/A,not_found
IB034l,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034l,N/A,N/A,N/A,N/A,not_found
IB034m,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034m,N/A,N/A,N/A,N/A,not_found
IB034n,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034n,N/A,N/A,N/A,N/A,not_found
IB034o,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034o,N/A,N/A,N/A,N/A,not_found
IB034p,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034p,N/A,N/A,N/A,N/A,not_found
IB034q,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034q,N/A,N/A,N/A,N/A,not_found
IB034r,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034r,N/A,N/A,N/A,N/A,not_found
IB034s,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034s,N/A,N/A,N/A,N/A,not_found
IB034t,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034t,N/A,N/A,N/A,N/A,not_found
IB034u,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034u,N/A,N/A,N/A,N/A,not_found
IB034v,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034v,N/A,N/A,N/A,N/A,not_found
IB034w,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034w,N/A,N/A,N/A,N/A,not_found
IB034x,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034x,N/A,N/A,N/A,N/A,not_found
IB034y,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034y,N/A,N/A,N/A,N/A,not_found
IB034z,N/A,https://info.igme.es/ielig/LIGInfo.aspx?codigo=IB034z,N/A,N/A,N/A,N/A,not_found
